ProjectId,FMSID,Benchmark (Y/N),DivisionName,UnitName,ProjectDescription,Scope,WebScope,Borough,ClientAgencyCode,Sponsor,PhaseName,ProjectType,Priority,DesignContractType,ConstructionContractType,SourceSystem,MultipleFMSIds,BenchmarkStatus,DesignFiscalYear,ConstructionFiscalYear,CreatedDate,ManageAgency
HD-161D,SEK20057,Y,Infrastructure,BROOKLYN,GATEWAY ESTATE - PHASE D/SEK002354,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. - Phase D

Final Scope 
--------------------------------------------------------------------------------
1. Vandalia Ave                   Gateway Drive                  250 L.F. east of Elton Street
2. Schroeders Ave              Gateway Drive                  250 L.F. east of Elton Street
3. Gateway Drive                 Vandalia Ave.                   250 L.F. south of Schroeders Avenue
4. Jerome Street                   Vandalia Avenue              Schroeders Avenue
5. Walker Street                    Vandalia Avenue              Schroeders Avenue
6. Lower Ashford Street      Schroeders Avenue         250 L. F. North of Vandalia Avenue","Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. - Phase D",Brooklyn,,HPD,Construction 50-75%,Street Reconstruction,Standard,Requirements TO,Requirements TO,PIMS,TRUE,,2012,2013,,DDC
PW335BS11,PW335BS11,N,Safety and Site Support,HAZMAT,Bulk Sampling Contract #11,,,,,,,,,,,,,,,,,
PW335BS12,PW335BS12,N,Safety and Site Support,HAZMAT,Bulk Sampling Contract #12,,,,,,,,,,,,,,,,,
PW335EPS2,PW335EPS2,N,Safety and Site Support,HAZMAT,Environmental Services Citywide,,,,,,,,,,,,,,,,,
PW335EPS3,PW335EPS3,N,Safety and Site Support,HAZMAT,ENVIRONMENTAL CONSULTANT REQUIREMENT CONTRACT,,,,,,,,,,,,,,,,,
PW335EPS4,PW335EPS4,N,Safety and Site Support,HAZMAT,ENVIROMENTAL CONSULTING REQUIREMENTS CONTRACT,,,,,,,,,,,,,,,,,
PW335EPS5,PW335EPS5,N,Safety and Site Support,HAZMAT,LEAD ABATEMENT,,,,,Unknown,,,,,,,,,,,,
HD161E,HD-161E,Y,Infrastructure,BROOKLYN,GATEWAY ESTATE - PHASE E/BED-805,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase E

DEP scope:
water Main:New
1. Locke Street between Gateway Drive and Elton Street
2. Egan Street between Vandalia Avenue and Elton Street 
3. Gateway Drive between Flatlands Avenue and Vandalia Avenue
4. Ashford Street between Flatlands Avenue and Vandalia Avenue
5. Cleveland Street between Locke Street and Vandalia Avenue
Sanitary Sewers: New
1.  Locke Street between Gateway Drive and Elton Street
2.  Egan Street between Gateway Drive and Elton Street
3. Gateway Drive between Egan Street and Flatlands Avenue
4. Ashford Street between Egan Street and Flatlands Avenue
5.  Cleveland Street between Egan Street and Locke Street
Storm Sewer: New
1. Gateway Drive between Egan Street and Flatlands Avenue
2.  Ashford Street between Egan Street and Flatlands Avenue 
3. Locke Street between Gateway Drive and Cleveland  Street","Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase E",Brooklyn,,HPD,Construction 0-25%,New Construction,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2014,2016,,DDC
HDWR17K,HDWR17K,Y,Infrastructure,BROOKLYN,"REPLACEMENT/REPAIR MANHOLE HARDWARE, BROOKLYN",REPLACEMENT/REPAIR IN KIND OF MANHOLE HARDWARE (INCLUDING CASTINGS AND CHIMNEY ADJUSTMENTS).  NO RINGS SHALL BE ALLOWED.,REPLACEMENT/REPAIR IN KIND OF MANHOLE HARDWARE (INCLUDING CASTINGS AND CHIMNEY ADJUSTMENTS).  NO RINGS SHALL BE ALLOWED.,Brooklyn,,Environmental Protection,Construction Procurement,Renovation,Critical,In-House,DDC Managed,PIMS,FALSE,,2016,2017,,DDC
HDWR17M,HDWR17M,Y,Infrastructure,MANHATTAN & CITYWIDE,"REPLACEMENT/REPAIR MANHOLE HARDWARE, MANHATTAN",REPLACEMENT/REPAIR IN KIND OF MANHOLE HARDWARE (INCLUDING CASTINGS AND CHIMNEY ADJUSTMENTS).  NO RINGS SHALL BE ALLOWED.,REPLACEMENT/REPAIR IN KIND OF MANHOLE HARDWARE (INCLUDING CASTINGS AND CHIMNEY ADJUSTMENTS).  NO RINGS SHALL BE ALLOWED.,Manhattan,,Environmental Protection,Construction Procurement,Renovation,Critical,In-House,Requirements TO,PIMS,FALSE,,2016,2017,,DDC
HDWR17Q,HDWR17Q,Y,Infrastructure,S. QUEENS,"REPLACEMENT/REPAIR MANHOLE HARDWARE, QUEENS",Replacement/Repair in Kind of Manhole Hardware (including castings and chimney adjustments) - no rings shall be allowed,Replacement/Repair in Kind of Manhole Hardware (including castings and chimney adjustments) - no rings shall be allowed,Queens,,Environmental Protection,Construction 0-25%,Upgrade,Critical,In-House,,PIMS,FALSE,,,,,DDC
HDWR17R,HDWR17R,Y,Infrastructure,STATEN ISLAND,"REPLACEMENT/REPAIR MANHOLE HARDWARE, STATEN ISLAND",REPLACEMENT/REPAIR IN KIND OF MANHOLE HARDWARE (INCLUDING CASTINGS AND CHIMNEY ADJUSTMENTS).  NO RINGS SHALL BE ALLOWED.,REPLACEMENT/REPAIR IN KIND OF MANHOLE HARDWARE,Staten Is.,,Environmental Protection,Construction 0-25%,Sewer,Standard,In-House,Individual Contract(s),PIMS,FALSE,,2016,2017,,DDC
HDWR17X,HDWR17X,Y,Infrastructure,BRONX & N. QUEENS,"REPLACEMENT/REPAIR MANHOLE HARDWARE, BRONX",REPLACEMENT/REPAIR IN KIND OF MANHOLE HARDWARE (INCLUDING CASTINGS AND CHIMNEY ADJUSTMENTS).  NO RINGS SHALL BE ALLOWED.,Replacement / Repair in Kind of Manhole Hardware (including castings and chimney adjustments). No rings shall be allowed.,Bronx,,Environmental Protection,Construction 0-25%,Renovation,Standard,DDC Managed/Consultant,,PIMS,FALSE,,,,,DDC
PW335ES12,PW335ES12,N,Safety and Site Support,HAZMAT,Environmental Service Contract #12,,,,,,,,,,,,,,,,,
PW335ES13,PW335ES13,N,Safety and Site Support,HAZMAT,Environmental Services Contract #13,,,,,,,,,,,,,,,,,
PW335ES14,PW335ES14,N,Safety and Site Support,HAZMAT,Environmental Services Contract #14,,,,,,,,,,,,,,,,,
PW335ES15,PW335ES15,N,Safety and Site Support,HAZMAT,Environmental & Lab Services for bklyn & Queens,,,,,,,,,,,,,,,,,
HED553,SEX002245,Y,Infrastructure,BRONX & N. QUEENS,TRUNK WATER MAIN IN SOUTHERN BLVD (w/ SEX002245),"Replacement of water main and sewer work on Southern Boulevard from Boston Road to Westchester Ave.

Water main replacemnt on Boston Road from East Tremont Ave to E 179th Street.","Replacement of water main and sewer work on Southern Boulevard from Boston Road to Westchester Ave.

Water main replacemnt on Boston Road from East Tremont Ave to E 179th Street.",Bronx,,Environmental Protection,Construction 0-25%,Water,Standard,In-House,Standard Consultant,PIMS,TRUE,,2013,2015,,DDC
HED-556A,HED-556A,Y,Infrastructure,BRONX & N. QUEENS,LINING OF EXISTING TRUNK WM IN BOTANICAL GARDENS,"Cleaning, surveying, lining and replacing 36"" and 48"" water mains, and upgrade existing distribution water mains in Botanical Gardens Area","Cleaning, surveying, lining and replacing 36"" and 48"" water mains, and upgrade existing distribution water mains in Botanical Gardens Area",Bronx,,Environmental Protection,On-Hold,Water,Standard,In-House,None,PIMS,FALSE,,,,,DDC
HED562,HED-562,Y,Infrastructure,BRONX & N. QUEENS,"NEW 48"" TRUNK WATER MAIN IN E 233 STREET","New 48"" Trunk Water Main in E 233rd Street between Bronxwood Avenue & Baychester Avenue, etc.","New 48"" Trunk Water Main in E 233rd Street between Bronxwood Avenue & Baychester Avenue, etc.",Bronx,,Environmental Protection,Final Design,Water,Standard,In-House,DDC Managed,PIMS,FALSE,,,,,DDC
HED563,HED-563,Y,Infrastructure,BRONX & N. QUEENS,"WATER MAIN WORK IN VARIOUS LOCATIONS, BX","Replace old unlined cast iron pipe water main and improve water distribution in project area.

Water main in:
1. W. Kingsbridge Road between Webb Avenue and University Avenue (20"")
2. Webb Avenue between W.190th Street and W. Kingsbridge Road (12"")
3.  University Avenue  between W.188th Street and  W. Kingsbridge Road (12"")
4. W. Kingsbridge Road between Webb Avenue and Grand Avenue (12"")
5. Devoe Terrace between W.188th Street and W.190th Street (8"")
6. Aqueduct Avenue  between W.190th Stree and  W. Kingsbridge Road (8"")","REPLACEMENT OF WATER MAINS & APPURTENANCES IN WEST KINGBRIDGE ROAD ETC., BRONX",Bronx,,Environmental Protection,Substantial Completion,Water,Standard,In-House,DDC Managed,PIMS,FALSE,,2013,2015,,DDC
HED564,HED-564,Y,Infrastructure,BRONX & N. QUEENS,"NEW 20"" SUB-AQUEOUS WATER MAIN TO CITY ISLAND","New 20"" sub-aqueous water mains on City Island Road (City Island Bridge) between Park Road and City Island Avenue","New 20"" sub-aqueous water mains on City Island Road (City Island Bridge) between Park Road and City Island Avenue",Bronx,,Environmental Protection,Construction Procurement,Water,Standard,Standard Consultant,DDC Managed/Consultant,PIMS,FALSE,,2011,,,DDC
HED568,HED-568,Y,Infrastructure,BRONX & N. QUEENS,"NEW 20"" SUB-AQUEOUS WM EXT. TO RANDALL'S ISLAND","New 20"" sub-aqueous water main extension to Randall's Island.

20"" water main connected from existing 36"" water main in Brook Ave and Bruckner Blvd, Bronx to existing 20"" water main in Randall's Island.","NEW 20"" SUB-AQUEOUS WATER MAIN EXTENSION TO RANDALL'S ISLAND",Bronx,,Environmental Protection,Construction 50-75%,Water,Standard,Standard Consultant,DDC Managed Consultant,PIMS,FALSE,,2012,2015,,DDC
HED569,HED569,Y,Infrastructure,BRONX & N. QUEENS,"NSTALLATION OF TRUNK MAIN IN BAINBRIDGE AVE., ETC.","Replacement of Trunk Water Main in Bainbridge Avenue Between Gunhill Road and Holly Lane and in Jerome Avenue Between Holly Lane and E233th Street, etc.
Also, New 36"" WM in West Burnside Avenue & Phelan Place","Replacement of Trunk Water Main in Bainbridge Avenue Between Gunhill Road and Holly Lane and in Jerome Avenue Between Holly Lane and E233th Street, etc.
Also, New 36"" WM in West Burnside Avenue & Phelan Place",Bronx,,Environmental Protection,Construction 0-25%,Water,Standard,DDC Managed/Consultant,DDC Managed/Consultant,PIMS,TRUE,,,,,DDC
HED569,HED-569,Y,Infrastructure,BRONX & N. QUEENS,"NSTALLATION OF TRUNK MAIN IN BAINBRIDGE AVE., ETC.","Replacement of Trunk Water Main in Bainbridge Avenue Between Gunhill Road and Holly Lane and in Jerome Avenue Between Holly Lane and E233th Street, etc.
Also, New 36"" WM in West Burnside Avenue & Phelan Place","Replacement of Trunk Water Main in Bainbridge Avenue Between Gunhill Road and Holly Lane and in Jerome Avenue Between Holly Lane and E233th Street, etc.
Also, New 36"" WM in West Burnside Avenue & Phelan Place",Bronx,,Environmental Protection,Construction 0-25%,Water,Standard,DDC Managed/Consultant,DDC Managed/Consultant,PIMS,TRUE,,,,,DDC
HED570,HED-570,Y,Infrastructure,BRONX & N. QUEENS,REPLACEMENT OF TRUNK & DIST WM IN UNIVERSITY AVE,"REPLACEMENT OF TRUNK AND DISTRIBUTION WM AND COMBINED SEWER IN UNIVERSITY AVE, BX","Replacement of Trunk and Distribution Water Main and Combined Sewer in University Avenue, Bronx",Bronx,,Environmental Protection,Pre-Design/PrgDevelopment,Water,Critical,In-House,Requirements TO,PIMS,FALSE,,2018,2020,,DDC
HED573,HED-573,Y,Infrastructure,BRONX & N. QUEENS,"REPLACEMENT OF WATER MAINS IN WALDO AVE, BX","REPLACEMENT OF WATER MAINS / COMBINED SEWER IN WALDO AVENUE, BX","Trunk & distribution water main work and combined sewer replacement in Waldo Ave between greystone Ave and Irwin Ave, etc. Borough of The Bronx",Bronx,,Environmental Protection,Construction Procurement,Water,Critical,,,PIMS,FALSE,,2016,2018,,DDC
HED574,HED-574,Y,Infrastructure,BRONX & N. QUEENS,"REPLACEMENT OF WATER MAIN IN BOSTON ROAD, BRONX","REPLACEMENT OF WATER MAIN IN BOSTON ROAD, BRONX","REPLACEMENT OF WATER MAIN IN BOSTON ROAD, BRONX",Bronx,,Environmental Protection,Cancelled Project,Water,Critical,In-House,Requirements TO,PIMS,FALSE,,2016,2017,,DDC
HEDA001,HEDA-001,Y,Infrastructure,BRONX & N. QUEENS,WM - WATER MAINS,"ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BX","ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BX",Bronx,,Environmental Protection,Substantial Completion,Water,Standard,In-House,Requirement Contract,PIMS,FALSE,,2015,2015,,DDC
HEDA002,HEDA-002,Y,Infrastructure,BRONX & N. QUEENS,ACCELERATED DIST. WM REPL.& SE REHAB. BX,"ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BX","ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BX",Bronx,,Environmental Protection,Construction 25-50%,Water,Critical,In-House,DDC Managed Consultant,PIMS,FALSE,,2016,2017,,DDC
HEDA003,HEDA-003,Y,Infrastructure,BRONX & N. QUEENS,ACCELERATED DIST. WM REPL.& SE REHAB. BX,"ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BX","ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BX",Bronx,,Environmental Protection,Construction Procurement,Water,Standard,In-House,Requirements TO,PIMS,FALSE,,2016,2017,,DDC
HH112BLEL,HH112BLEL,Y,Public Buildings,HUMAN SERVICES,BELLEVUE SHELTER-ELEVATOR REHAB,"Rehabilitation of three (3) 3 Elevators at Bellevue Mens Shelter - 400 E 30th St, NYC","Rehabilitation of 3 Elevators at Bellevue Mens Shelter - 400 E 30th St, NYC",Manhattan,,Homeless Services,Construction 75%-Subst.,Upgrade,Standard,Requirements TO,DDC Managed,PIMS,FALSE,,,,,DDC
HH112BLEN,HH112BLEN,Y,Public Buildings,HUMAN SERVICES,Bellevue Mens Shelter: Atrium Area Reconstruction,BELLEVUE MEN'S RESIDENCE- RECONSTRUCT ATRIUM AREA,Reconstruct Atrium area at Bellevue Men's Residence,Manhattan,,Homeless Services,Scope Development,Renovation,Critical,Requirements TO,CM-Managed,PIMS,FALSE,,2017,,,DDC
HH112BLFS,HH112BDFA,Y,Public Buildings,HUMAN SERVICES,Bellvue Shelter:400 East 30th st. Fire Alarm Alarm,Borden Avenue Fire Safety,Installation of new building wide fire alarm system at Bellevue Men's Shelter,Queens,,Homeless Services,Scope Development,Upgrade,Critical,Requirement Contract,CM-Managed,PIMS,TRUE,,2017,2018,,DDC
HED-CLUB,HED-CLUB,Y,Public Buildings,DEP,Croton Filtration Plant,"The new Mosholu Golf Course Club House, together with fifty-five Driving Range Tee Boxes and ten-acres of re-landscaping comprise the phase IV and final of the vast DEP Croton Water Treatment Plant project, currently under construction in Van Cortlandt Park in the Bronx.
Through a multifunctional design strategy the project reinstates the pre-existing golf program and facility, creates civic space for community use and ensures security for a multi-billion dollar public works facility.","The new Mosholu Golf Course Club House, together with fifty-five Driving Range Tee Boxes and ten-acres of re-landscaping comprise the phase IV and final of the vast DEP Croton Water Treatment Plant project, currently under construction in Van Cortlandt Park in the Bronx.
Through a multifunctional design strategy the project reinstates the pre-existing golf program and facility, creates civic space for community use and ensures security for a multi-billion dollar public works facility.",Bronx,,Environmental Protection,Construction Procurement,New Construction,Standard,Standard Consultant,CM-Managed,PIMS,FALSE,,,,,DDC
HH112AAFS,HH112AAFS,Y,Public Buildings,HUMAN SERVICES,Atlantic Armory:1322 Bedord.BKLYN Fire Alarm Upgra,"HH112AAFS
Atlantic Avenue Armory Fire Safety",Installation of new building wide fire alarm for Atlantic Armory,Brooklyn,,Homeless Services,Schematic Design,Upgrade,Critical,Requirement Contract,CM-Managed,PIMS,FALSE,,2017,2018,,DDC
HH112BATV,HH112BATV,Y,Public Buildings,HUMAN SERVICES,BEDFORD ATLANTIC ARMORY RESIDENCE: CCTV,BEDFORD ATLANTIC Closed Circuit TV,Installation of a building wide CCTV system.,Brooklyn,,Homeless Services,On-Hold,Other,Critical,Requirements TO,JOCS,PIMS,FALSE,,2016,2017,,DDC
HH112BDFA,HH112BDFA,Y,Public Buildings,HUMAN SERVICES,Borden Ave Veterans Residence:Fire Alarm Upgrade,Installation of new building wide fire alarm system for Borden Avenue Veteran's Shelter,Installation of new building wide fire alarm system for Borden Avenue Veteran's Shelter,Queens,,Homeless Services,Schematic Design,Upgrade,Critical,Requirement Contract,JOCS,PIMS,FALSE,,2017,2018,,DDC
HH112BEES,HH112BEES,Y,Public Buildings,HUMAN SERVICES,BELLEVUE MENS RESIDENCE:ELECTRICAL UPGRADE,BELLEVUE - ELECT SVC UPGRADE,Upgrade electrical service for building including meter room distribution panels.,Manhattan,,Homeless Services,Final Design,Upgrade,Critical,Requirements TO,CM-Managed,PIMS,FALSE,,2016,2017,,DDC
HH112BEES-G,HH112BEES,Y,Public Buildings,HUMAN SERVICES,Bellevue Electrical Upgrade & New Generator,Project ID for bidding HH112BBES and HH112BEGE combined.,Project ID for bidding HH112BEES and HH112BEGE combined.,Manhattan,,Homeless Services,Final Design,Upgrade,Critical,Requirements TO,CM-Managed,PIMS,FALSE,,,,,DDC
HH112BEGE,HH112BEGE,Y,Public Buildings,HUMAN SERVICES,BELLEVUE MENS RESIDENCE: INSTALL NEW GENERATOR,Install natural gas fired emergency generator for building life safety and elevators.,Install natural gas fired emergency generator for building life safety and elevators.,Manhattan,,Homeless Services,Final Design,Upgrade,Critical,Requirements TO,DDC Managed,PIMS,FALSE,,,,,DDC
HH112BLBR,HH112BLBR,Y,Public Buildings,HUMAN SERVICES,Bellevue Men's Shelter: Bathroom Upgrade,"The purpose of the project a complete upgrade of all the bathroom throughout the facility  for clients, staff and the general public in the facility.","Renovation of all bathroom facilities through out the building; to include new fixtures, ventilation, ADA compliance",Manhattan,,Homeless Services,Scope Development,Renovation,Critical,Requirements TO,CM-Managed,PIMS,FALSE,,2017,,,DDC
HH112BLCY,HH112BLCY,Y,Public Buildings,HUMAN SERVICES,Bellevue Men's Shelter: Courtyard Reconstruction,Reconstruct Courtyard at Bellevue Shelter,Reconstruct Courtyard at Bellevue Men's Shelter,Manhattan,,Homeless Services,Scope Development,Renovation,Critical,Requirements TO,CM-Managed,PIMS,FALSE,,2017,,,DDC
HH112BLRR,HH112BLRR,Y,Public Buildings,HUMAN SERVICES,BELLEVUE MENS RESIDENCE: 400-430 30TH,Building envelope rehabilitation with roof and window replacement.,Building roof replacement.,Manhattan,,Homeless Services,Construction Procurement,Upgrade,Critical,Requirements TO,CM-Managed,PIMS,FALSE,,2017,2019,,DDC
HH112BLRRFW,HH112BLRR,Y,Public Buildings,Human Services,Bellevue Facade Rehab & Window Replacement,Bellevue Facade Rehab & Window Replacement,Bellevue Facade Rehab & Window Replacement,Manhattan,,Homeless Services,Construction Procurement,Upgrade,Critical,Requirements TO,CM-Managed,PIMS,FALSE,,,,,DDC
HH112BLRR-FW,HH112BLRR,Y,Public Buildings,HUMAN SERVICES,Bellevue Facade Rehab & Window Replacement,Façade and Window Replacement at Bellevue Men's Shelter,Façade and Window Replacement at Bellevue Men's Shelter,Manhattan,,Homeless Services,Cancelled Project,Upgrade,,Requirement Contract,CM-Managed,PIMS,FALSE,,,,,DDC
HH112BLTV,HH112BLTV,Y,Public Buildings,HUMAN SERVICES,BELLEVUE MENS RESIDENCE,"HH112BLTV
Install new CCTV system in facility",CCTV system installation,Manhattan,,Homeless Services,Completed Project,Upgrade,Critical,Requirements TO,None,PIMS,FALSE,,2017,2018,,DDC
HH112BLVT,HH112BLVT,Y,Public Buildings,HUMAN SERVICES,Bellevue Mens Shelter,Bathroom Ventilation Upgrade,Upgrade of Bathroom Ventilation for code compliance,Manhattan,,Homeless Services,Scope Development,Upgrade,Critical,Requirements TO,CM-Managed,PIMS,FALSE,,2017,,,DDC
